LocusTag	CycId
YALI0C23386g	G1FV3-29321-MONOMER
YALI0C04279g	G1FV3-28470-MONOMER
YALI0D07656g	G1FV3-27398-MONOMER
YALI0F29579r	G1FV3-26942-MONOMER
YALI0F00198g	G1FV3-25621-MONOMER
YALI0B04114g	G1FV3-29543-MONOMER
YALI0E30877g	G1FV3-25405-MONOMER
YALI0F26609g	G1FV3-26817-MONOMER
YALI0E24541g	G1FV3-25114-MONOMER
YALI0A15103g	G1FV3-31040-MONOMER
YALI0D26125g	G1FV3-28228-MONOMER
YALI0A18612g	G1FV3-31190-MONOMER
YALI0C14366r	G1FV3-28914-MONOMER
YALI0B11880g	G1FV3-29886-MONOMER
YALI0D02607g	G1FV3-27173-MONOMER
YALI0A11550g	G1FV3-30901-MONOMER
YALI0F11319g	G1FV3-26126-MONOMER
YALI0B01224g	G1FV3-29421-MONOMER
YALI0F15983g	G1FV3-26340-MONOMER
YALI0C10362r	G1FV3-28745-MONOMER
YALI0F13937g	G1FV3-26245-MONOMER
YALI0B19888g	G1FV3-30246-MONOMER
YALI0B14597g	G1FV3-30007-MONOMER
YALI0D11748g	G1FV3-27590-MONOMER
YALI0E31955g	G1FV3-25460-MONOMER
YALI0F07128g	G1FV3-25943-MONOMER
YALI0C09658g	G1FV3-28713-MONOMER
YALI0D22869g	G1FV3-28081-MONOMER
YALI0D21406g	G1FV3-28016-MONOMER
YALI0B09053g	G1FV3-29758-MONOMER
YALI0F29623g	G1FV3-26943-MONOMER
YALI0E28930g	G1FV3-25315-MONOMER
YALI0A13673g	G1FV3-30987-MONOMER
YALI0A02200g	G1FV3-30509-MONOMER
YALI0E03410g	G1FV3-24166-MONOMER
YALI0C01331g	G1FV3-28340-MONOMER
YALI0E14322g	G1FV3-24653-MONOMER
YALI0E33517g	G1FV3-25536-MONOMER
YALI0D23815g	G1FV3-28125-MONOMER
YALI0E17919g	G1FV3-24813-MONOMER
YALI0D04510g	G1FV3-27253-MONOMER
YALI0C09614g	G1FV3-28711-MONOMER
YALI0D02409g	G1FV3-27164-MONOMER
YALI0E02464r	G1FV3-24125-MONOMER
YALI0D05225r	G1FV3-27286-MONOMER
YALI0B04136g	G1FV3-29544-MONOMER
YALI0A10483g	G1FV3-30859-MONOMER
YALI0D11770g	G1FV3-27591-MONOMER
YALI0E09779g	G1FV3-24447-MONOMER
YALI0C04301g	G1FV3-28471-MONOMER
YALI0F19866g	G1FV3-26517-MONOMER
YALI0D25234g	G1FV3-28188-MONOMER
YALI0A08558g	G1FV3-30770-MONOMER
YALI0F29645g	G1FV3-26944-MONOMER
YALI0A05533g	G1FV3-30646-MONOMER
YALI0B11902g	G1FV3-29887-MONOMER
YALI0B19404r	G1FV3-30228-MONOMER
YALI0E24563g	G1FV3-25115-MONOMER
YALI0A09196g	G1FV3-30797-MONOMER
YALI0D06908g	G1FV3-27364-MONOMER
YALI0C16841g	G1FV3-29025-MONOMER
YALI0A18634g	G1FV3-31191-MONOMER
YALI0C09636g	G1FV3-28712-MONOMER
YALI0E07854r	G1FV3-24360-MONOMER
YALI0D02805g	G1FV3-27182-MONOMER
YALI0B01254g	G1FV3-29422-MONOMER
YALI0F16005g	G1FV3-26341-MONOMER
YALI0F23089g	G1FV3-26660-MONOMER
YALI0E23243g	G1FV3-25052-MONOMER
YALI0E06237g	G1FV3-24294-MONOMER
YALI0E19899g	G1FV3-24902-MONOMER
YALI0B04158g	G1FV3-29545-MONOMER
YALI0B07623g	G1FV3-29699-MONOMER
YALI0D11792g	G1FV3-27592-MONOMER
YALI0B02860g	G1FV3-29493-MONOMER
YALI0C04323g	G1FV3-28472-MONOMER
YALI0C07502g	G1FV3-28613-MONOMER
YALI0F05764g	G1FV3-25876-MONOMER
YALI0F25157g	G1FV3-26751-MONOMER
YALI0F29667g	G1FV3-26945-MONOMER
YALI0A08580g	G1FV3-30771-MONOMER
YALI0B22770g	G1FV3-30381-MONOMER
YALI0E28941g	G1FV3-25316-MONOMER
YALI0E03432g	G1FV3-24167-MONOMER
YALI0B11913g	G1FV3-29888-MONOMER
YALI0E14344g	G1FV3-24654-MONOMER
YALI0A10901g	G1FV3-30878-MONOMER
YALI0A17336g	G1FV3-31133-MONOMER
YALI0A02222g	G1FV3-30510-MONOMER
YALI0E15444s	G1FV3-24705-MONOMER
YALI0C01353g	G1FV3-28341-MONOMER
YALI0F01650g	G1FV3-25687-MONOMER
YALI0D23837g	G1FV3-28126-MONOMER
YALI0E34573g	G1FV3-25586-MONOMER
YALI0E02508g	G1FV3-24126-MONOMER
YALI0D26840g	G1FV3-28261-MONOMER
YALI0A04697g	G1FV3-30613-MONOMER
YALI0F22561g	G1FV3-26638-MONOMER
YALI0D05676g	G1FV3-27308-MONOMER
YALI0E00836g	G1FV3-24049-MONOMER
YALI0D11814g	G1FV3-27593-MONOMER
YALI0A20658g	G1FV3-31278-MONOMER
YALI0C23408g	G1FV3-29322-MONOMER
YALI0B04180g	G1FV3-29546-MONOMER
YALI0E12177g	G1FV3-24558-MONOMER
YALI0F26631g	G1FV3-26818-MONOMER
YALI0F19888g	G1FV3-26518-MONOMER
YALI0D17996g	G1FV3-27861-MONOMER
YALI0F00220g	G1FV3-25622-MONOMER
