LocusTag	CycId
Lipst1_1_119420	G1IA6-22296-MONOMER
Lipst1_1_104127	G1IA6-19262-MONOMER
Lipst1_1_283577	G1IA6-19972-MONOMER
Lipst1_1_75553	G1IA6-23561-MONOMER
Lipst1_1_308679	G1IA6-20573-MONOMER
Lipst1_1_283674	G1IA6-19973-MONOMER
Lipst1_1_284032	G1IA6-19974-MONOMER
Lipst1_1_62718	G1IA6-19645-MONOMER
Lipst1_1_75567	G1IA6-23563-MONOMER
Lipst1_1_284106	G1IA6-19975-MONOMER
Lipst1_1_284310	G1IA6-19976-MONOMER
Lipst1_1_75573	G1IA6-23564-MONOMER
Lipst1_1_284398	G1IA6-19977-MONOMER
Lipst1_1_75575	G1IA6-23565-MONOMER
Lipst1_1_3139	G1IA6-19553-MONOMER
Lipst1_1_256180	G1IA6-18879-MONOMER
Lipst1_1_75577	G1IA6-23566-MONOMER
Lipst1_1_72699	G1IA6-21358-MONOMER
Lipst1_1_104169	G1IA6-19265-MONOMER
Lipst1_1_284671	G1IA6-19979-MONOMER
Lipst1_1_75578	G1IA6-23567-MONOMER
Lipst1_1_75580	G1IA6-23568-MONOMER
Lipst1_1_285174	G1IA6-19980-MONOMER
Lipst1_1_256229	G1IA6-18880-MONOMER
Lipst1_1_104180	G1IA6-19266-MONOMER
Lipst1_1_285523	G1IA6-19981-MONOMER
Lipst1_1_75581	G1IA6-23569-MONOMER
Lipst1_1_308962	G1IA6-20575-MONOMER
Lipst1_1_285549	G1IA6-19982-MONOMER
Lipst1_1_256276	G1IA6-18881-MONOMER
Lipst1_1_75588	G1IA6-23570-MONOMER
Lipst1_1_72701	G1IA6-21359-MONOMER
Lipst1_1_104182	G1IA6-19267-MONOMER
Lipst1_1_285732	G1IA6-19984-MONOMER
Lipst1_1_75589	G1IA6-23571-MONOMER
Lipst1_1_285739	G1IA6-19985-MONOMER
Lipst1_1_69942	G1IA6-19143-MONOMER
Lipst1_1_71606	G1IA6-20361-MONOMER
Lipst1_1_285762	G1IA6-19986-MONOMER
Lipst1_1_75591	G1IA6-23572-MONOMER
Lipst1_1_3244	G1IA6-20050-MONOMER
Lipst1_1_104211	G1IA6-19269-MONOMER
Lipst1_1_75592	G1IA6-23573-MONOMER
