,fluxes
GLYCLm,0.0
PIt2r,0.06001978361120841
CHORS,0.019390643343464742
ANPRT,0.043191617193733205
GPDDA1,0.0
ACGSm,0.0
ACS,0.010006160548391017
GLUSx,0.0
DDPA,0.019390643343464742
MAN6PI,-0.049561506301021734
HACD1p,0.0
ACHLE1,0.0
HEMEASm,4.238799721019977e-05
PTE8x,0.0
PTE12x,0.0
ACONT3m,0.0
ANS,0.0024025356253355203
ALLTTti,0.0
PDE3,0.0
POLYAO2,0.0
ARMT,0.0
GTPCII,0.00010679812321701565
PRPNCOAHYDm,0.01250814328236231
SUCD2_u9m,0.43856722827242434
GLUPRT,0.010541454965269313
MALSp,0.0
ALDD2y,0.0
HISTD,0.005538388734838972
PYDXS,0.00023267391232747862
RBFSb,0.00010679812321701565
KARA2im,0.018126756881382464
HMGCOAR,-0.00711984601805223
PTE11m,0.0
MI145PKn,0.0
FACOAL1831,0.0
AP4AH,0.0
RNDR2,0.0002495623783830631
L_LACt2r,0.0
GUAD,0.0
INDPYRD,0.0
4MOPDC,0.0
UDPACGLP,0.0019019390065155486
LNSTLSr,0.001097356299767829
PI45BP5Per_LS,0.0
LCYSTATm,0.0
RBFK,4.6068575839160684e-05
ARGSL,0.012729386939690637
FACOAL140,0.0
ZYMSTATer_LS,8.977063970613782e-05
FUMm,0.43856722827242434
MIPCS126g_LS,0.0
CERS124er,0.0
UTPtm,0.0
PNP,-8.545076716904238e-05
ECOAH5p,0.0
HGNTOR,0.0
ALCD23xi,0.0
G5SADm,0.0
ME1m,0.04714465664795284
FBP26,0.0
MI3PP,0.0003770366867657788
HSDy,0.0
NNATm,0.0
ECOAH11p,0.0
GLCt1,1.0
ECOAH7m,0.0
ASNTRS,0.011888415586923537
ADK4m,0.0
TRPt2r,0.0
PPM,-0.00032879835752050766
ERGSTESTH_LS,0.0
THIORDXp,0.0
MTHFR3,0.0
PEPDt3,0.0
PTE10m,0.0
ORNTA,0.0
PUNP6,0.0
SO4ti,0.0
AGPRim,0.01337293611296445
HMR_6515,0.0
GLNS,0.06374115137487682
PSERSm_LS,0.0
UPPDC1,4.238799721019977e-05
FTHFLmi,0.0
MCITL2m,0.0
PANTS,4.723409240493803e-05
FACOAL180,0.0
HMBS,4.238799721019977e-05
ACCOAC,0.43330420556846844
SQLEr,0.0
HISt6,0.0
FUMAC,0.0
ACHBSm,0.018126756881382464
ATPPRT,0.005538388734838972
METAT,0.0058499349153011086
MM3,0.0
FACOAE1829Z12Z,0.0
METSOXR2,0.0
FACOAE100,0.0
I4FE4STm,0.0
UACMAMO,0.0
FACOAE140,0.0
SDPTA,0.0
F6PP,0.0
UDPDOLPT,0.0
ACOAR5m,0.0
XYLK,0.0
AAMYLASE,0.0
APNn,0.0
UDPGDC,0.0
LIPOCTm,0.0
TGUAt,0.0
ADSHm,0.0
G12MT3,0.0
G6PP,0.0
NADHXD2,0.0
NA1tm,0.0
MANPGH,0.0
ULA4NFT,0.0
LYSTRSm,0.0
ACPT1819Z1819Z,0.0
BTS,0.0
ADNtm,0.0
MSAR,0.0
MALCOAMT,0.0
ALDD3y,0.0
GNP,0.0
MLTP2,0.0
SPMDtmr,0.0
CYANST,0.0
NTPP1,0.0
HPYRP,0.0
ACKrm,0.0
FACOAE180,0.0
BTP,0.0
BADP,0.0
CHOLID,0.0
PYDXOR,0.00017090153433808476
UGLYCH,0.0
56DH5FLURAAMH,0.0
ASPTRSm,0.0
I2FE2SS2m,0.0
DKGLCNR1,0.0
34DHPHAMT,0.0
PGP1819Z160t,0.0
13BGHe,0.0
LCARSyi,0.0
TRE6PH,0.0
ACACT1p,0.0
3HCINNMH,0.0
IMPDm,0.0
I2FE2SSm,0.0
DHPS2,0.00023936029683675752
UPPDC2,0.0
DHCURR,0.0
FACOAE161,0.0
HEMELm,0.0
FORA,0.0
URATEtm,0.0
GLYCK,0.0
LIPAMPLm,0.00019059263000302564
GLCNACPT,0.0
THMPe,0.0
Cu1ATPase,0.0
FTHFD,0.0
FACOAE1836Z9Z12Z,0.0
GRXR,0.0
TDPDRR,0.0
MG3A,0.0
GPDDA2,0.0
NTPP2,0.0
ACOXT,0.0
THRTRSm,0.0
PE1819Z1819Zt,0.0
PAIL1819Z160t,0.0
PHDA,0.0
TM1601819Z,0.0
PNSPA,0.0
AMID_1,0.0
MDHp,0.0
ACOAR6m,0.0
APSR,0.010006160548391017
6MPURPRT,0.0
ETHAK,0.0
NADHHS,0.0
MTHFCx,0.0
BDMT,0.0
5DGLCNR,0.0
ACOAD2m,0.0
MM1,0.0
FACOAE80,0.0
FACOAE181,0.0
ICYSDSm,0.00014832731874712452
I2FE2SRm,0.00014832731874712452
ACKr,0.0
ECOAH2m,0.0
MAGAH160,0.0
PG1819Z160t,0.0
6TINS5MPOR,0.0
BDHm,0.0
ACOAD1p,0.0
CYNTAH,0.0
ACOAR4m,0.0
A5PISO,0.0
5FLURAt,0.0
GLYCLTDxm,0.0
GPDDA3,0.0
R5PP,0.0
HACD3p,0.0
AATHA,0.0
DOLPMT,0.0
ACPT1601819Z,0.0
FOLR2_1,0.0
